Bytes,3900,3904,3908,3912,3916,3920,3924,3928,3932,3936,3940,3944,3948,3952,3956,3960,3964,3968,3972,3976,3980,3984,3988,3992,3996,4000,4004,4008,4012,4016,4020,4024,4028,4032,4036,4040,4044,4048,4052,4056,4060,4064,4068,4072,4076,4080,4084,4088,4092,4096,4100,4104,4108,4112,4116,4120,4124,4128,4132,4136,4140,4144,4148,4152,4156,4160,4164,4168,4172,4176,4180,4184,4188,4192,4196,4200,4204,4208,4212,4216,4220,4224,4228,4232,4236,4240,4244,4248,4252,4256,4260
ScatterAlloc - mean,0.942733,0.953009,0.937594,0.951799,0.947742,0.935831,0.944789,0.952278,0.946698,0.941318,0.967748,0.960926,0.967501,0.967187,0.893127,0.888449,0.894542,0.874422,0.855428,0.842692,0.854692,0.848118,0.893985,0.895492,0.891739,0.889352,0.838194,0.865863,0.850654,0.84333,0.897326,0.902986,0.897576,0.894169,0.895269,0.909407,0.90684,0.909304,0.901427,0.885764,0.902215,0.893445,0.909454,0.902947,0.905643,0.907251,10.9368,10.9404,10.9351,10.8999,17.7745,17.7698,17.7711,17.7665,17.7755,17.7678,17.7769,17.7715,17.7736,17.7686,17.7697,17.7704,17.7678,17.7731,17.7737,17.7789,17.7699,17.7701,17.7761,17.7735,17.7793,17.7742,17.7746,17.7632,17.7696,17.7707,17.7804,17.7721,17.774,17.7753,17.7751,17.7709,17.7743,17.7708,17.7779,17.7788,17.7677,17.7741,17.7745,17.765,17.7736
ScatterAlloc - std_dev,0.1538,0.159978,0.168747,0.179527,0.181298,0.16836,0.158508,0.169203,0.164918,0.166298,0.184177,0.176935,0.184329,0.180445,0.195259,0.196698,0.198029,0.182663,0.184168,0.18396,0.178085,0.176529,0.200338,0.197125,0.196108,0.193245,0.164271,0.185251,0.18141,0.167596,0.197211,0.198803,0.196095,0.199799,0.192378,0.202673,0.191904,0.193012,0.200787,0.191973,0.200933,0.199007,0.200145,0.196494,0.194945,0.203887,0.0196579,0.0199279,0.0217329,0.0231313,0.0352769,0.0348374,0.0367547,0.0390416,0.0337614,0.036774,0.0303215,0.0377368,0.0363912,0.0353212,0.0374393,0.0327189,0.037335,0.0305624,0.0319352,0.0394116,0.0310482,0.0387625,0.0298117,0.0398292,0.0438464,0.0373787,0.0334591,0.0362441,0.0355403,0.0382999,0.0317559,0.0341883,0.0393814,0.0340018,0.0322811,0.0291119,0.0363135,0.036169,0.0359724,0.042293,0.027923,0.0360553,0.037943,0.038135,0.0392164
ScatterAlloc - min,0.327808,0.326912,0.328096,0.320992,0.323936,0.327872,0.32768,0.329408,0.322368,0.326496,0.33024,0.335168,0.32352,0.322016,0.313728,0.309664,0.313504,0.305376,0.308768,0.310496,0.309984,0.305152,0.301952,0.308128,0.307808,0.302688,0.30752,0.307072,0.300992,0.31552,0.307296,0.31232,0.3104,0.307072,0.306944,0.29744,0.316,0.310688,0.307136,0.304768,0.316608,0.304736,0.31264,0.312256,0.306816,0.30992,10.8859,10.9109,10.8901,10.8364,17.6854,17.6835,17.6911,17.6788,17.7097,17.7078,17.7135,17.6758,17.6688,17.7044,17.7008,17.7043,17.69,17.7035,17.6948,17.7,17.7103,17.6976,17.7113,17.6975,17.6711,17.7153,17.7145,17.6966,17.6972,17.7021,17.7078,17.6971,17.6937,17.7159,17.7044,17.7133,17.6838,17.6875,17.6956,17.696,17.7115,17.6822,17.6968,17.6741,17.698
ScatterAlloc - max,1.2736,1.25811,1.27053,1.31997,1.31562,1.25917,1.28646,1.31856,1.31622,1.31286,1.33267,1.28461,1.33178,1.36624,1.25738,1.24323,1.26931,1.20893,1.19866,1.26074,1.14963,1.17248,1.24083,1.31242,1.26166,1.22346,1.03638,1.2489,1.27386,1.18192,1.26586,1.28992,1.31309,1.33872,1.22186,1.30243,1.24045,1.2383,1.22518,1.29155,1.30205,1.30685,1.2799,1.24627,1.20819,1.24525,10.9804,10.9943,10.985,10.9572,17.8761,17.9039,17.8825,17.8718,17.8604,17.8946,17.8557,17.8916,17.8866,17.8944,17.9191,17.8379,17.9005,17.8284,17.8637,17.8754,17.8452,17.8858,17.8495,17.9202,17.894,17.9099,17.8764,17.8328,17.8891,17.8948,17.8781,17.8338,17.8568,17.9009,17.8813,17.8612,17.8858,17.8498,17.8824,17.941,17.8351,17.8666,17.8684,17.8905,17.8986
ScatterAlloc - median,0.956832,0.966592,0.94096,0.951456,0.956192,0.941088,0.957504,0.95952,0.963872,0.946592,0.964544,0.958464,0.974368,0.967296,0.965792,0.967808,0.962368,0.944256,0.903008,0.856192,0.877472,0.88496,0.959488,0.974496,0.96144,0.967072,0.869536,0.905952,0.8792,0.857952,0.966176,0.965504,0.963712,0.960768,0.976736,0.98208,0.984608,0.979488,0.955488,0.945344,0.970592,0.945728,0.975648,0.976064,0.979776,0.979392,10.9375,10.9417,10.9346,10.9014,17.7739,17.766,17.766,17.7692,17.7739,17.7647,17.7775,17.7674,17.7734,17.764,17.7626,17.7726,17.7643,17.7793,17.7763,17.7783,17.7667,17.7727,17.7778,17.7694,17.7845,17.7738,17.7766,17.7645,17.7709,17.7712,17.7852,17.7733,17.7742,17.7674,17.7703,17.7756,17.778,17.7769,17.7768,17.775,17.7656,17.7771,17.7664,17.7627,17.7737
Ouroboros-C-VL - mean,6.20419,6.21901,6.35447,6.20761,6.21905,6.43437,6.21164,6.19474,6.19678,6.2156,6.21461,6.19805,6.21963,6.212,6.20659,6.2073,6.2078,6.21459,6.25472,6.27206,6.24632,6.26074,6.27029,6.25457,6.2447,6.25508,6.26117,6.4888,6.26165,6.24959,6.25955,6.27522,6.2587,6.24452,6.25986,6.45379,6.26057,6.25653,6.25995,6.51258,6.51652,6.24799,6.2614,6.26539,6.26333,6.25171,6.25513,6.28006,6.25226,6.25183,12.2154,12.1887,12.2114,12.1969,12.1977,12.2178,12.2088,12.168,12.1936,12.1741,12.198,12.192,12.1949,12.235,12.197,12.1833,12.198,12.178,12.1899,12.1773,12.1851,12.2061,12.1957,12.1851,12.1924,12.2071,12.4131,12.1762,12.1781,12.3977,12.1941,12.1858,12.2078,12.1669,12.2008,12.1914,12.4663,12.3574,12.2351,12.1739,12.1882
Ouroboros-C-VL - std_dev,0.0706379,0.069917,1.02738,0.0618937,0.0877941,1.52145,0.0605121,0.0687331,0.0677371,0.0767914,0.0748035,0.0553625,0.0646649,0.0832215,0.0655548,0.0717775,0.0806935,0.0954856,0.0606778,0.0796926,0.0636499,0.0751758,0.0737086,0.0732737,0.0587367,0.0684887,0.0845669,1.73028,0.0773403,0.0643661,0.05807,0.0751324,0.0671644,0.0616265,0.0661958,1.39327,0.0726531,0.0738943,0.0621756,1.75863,1.95031,0.0746026,0.070573,0.0680997,0.0581689,0.0752107,0.0567513,0.157914,0.0636232,0.0743175,0.0932704,0.0894491,0.0911933,0.107524,0.104876,0.106038,0.1216,0.0872102,0.0983926,0.0932629,0.067441,0.110499,0.0820872,0.111554,0.0956756,0.0976417,0.0762859,0.075774,0.0844559,0.0746777,0.0945892,0.0910301,0.101952,0.104097,0.0946332,0.0990907,1.39381,0.0928248,0.095667,1.40681,0.119618,0.106764,0.0952595,0.106453,0.0890011,0.106062,1.77967,1.14225,0.105038,0.101303,0.102884
Ouroboros-C-VL - min,6.09078,6.05741,6.0463,6.10413,6.04998,6.10883,6.09715,6.076,6.09066,6.07024,6.06214,6.09226,6.09773,6.05587,6.05117,6.05859,6.09885,6.02029,6.15238,6.14758,6.11914,6.08925,6.14349,6.11181,6.13222,6.1047,6.08621,6.10403,6.12205,6.11965,6.16218,6.17242,6.14173,6.11872,6.14582,6.10848,6.12867,6.11088,6.1407,6.10611,6.12109,6.09581,6.10918,6.13584,6.14643,6.0544,6.1063,6.14976,6.15008,6.11843,12.0169,11.952,11.9771,11.9959,12.0029,11.9518,11.9684,11.9781,11.9206,11.9759,12.07,11.964,11.9727,11.9195,11.9959,11.9626,12.0598,11.9909,12.0236,12.0342,11.9105,11.9879,11.9576,12.0488,11.9711,12.011,12.005,11.9532,11.9147,11.9998,11.9336,11.9244,11.9716,11.8796,12.0192,12.007,12.0384,12.0554,12.0332,12.023,11.908
Ouroboros-C-VL - max,6.45168,6.41526,13.5338,6.39162,6.68928,17.0767,6.45379,6.4057,6.42262,6.56637,6.53152,6.45971,6.49443,6.56672,6.51658,6.43552,6.62765,6.65363,6.44349,6.66003,6.53206,6.61654,6.62362,6.55107,6.39824,6.48384,6.71933,18.5966,6.57997,6.51427,6.55978,6.64611,6.53962,6.48406,6.55821,16.1955,6.59555,6.55482,6.51488,18.8155,20.1632,6.5903,6.51898,6.51312,6.4895,6.58829,6.49821,7.29664,6.5231,6.556,12.4024,12.3646,12.432,12.5256,12.5036,12.4785,12.7497,12.3488,12.4542,12.4067,12.3503,12.4107,12.4174,12.5579,12.471,12.4117,12.359,12.3809,12.4156,12.3327,12.4674,12.4176,12.4902,12.674,12.4643,12.5591,22.1374,12.4062,12.4275,22.2253,12.4416,12.4942,12.457,12.4299,12.441,12.4546,24.905,20.3336,12.6196,12.4898,12.4411
Ouroboros-C-VL - median,6.19242,6.21322,6.20054,6.1961,6.21082,6.22659,6.20973,6.1824,6.1889,6.21693,6.22045,6.18822,6.22528,6.20666,6.208,6.19702,6.20285,6.19878,6.24378,6.26486,6.24605,6.26429,6.26205,6.2417,6.24765,6.25443,6.25309,6.23811,6.25021,6.24461,6.25693,6.2817,6.26211,6.24966,6.26176,6.25731,6.25792,6.25597,6.26246,6.2576,6.23683,6.23718,6.26925,6.26682,6.26758,6.24682,6.25773,6.2592,6.24096,6.25635,12.2098,12.1922,12.2088,12.2086,12.1777,12.2296,12.2072,12.1766,12.1909,12.1622,12.1935,12.1813,12.1872,12.2591,12.1895,12.1901,12.1976,12.1745,12.1908,12.1725,12.1948,12.2081,12.1689,12.1823,12.1825,12.2067,12.2201,12.1917,12.1884,12.2029,12.2155,12.1721,12.2096,12.1554,12.2037,12.1851,12.2141,12.1938,12.2412,12.1503,12.1861
CUDA - mean,2.01032,1.8007,1.81466,1.80484,1.80096,1.79191,1.81219,1.81648,1.82125,1.81783,1.81826,1.80584,1.83041,1.80425,1.80177,1.81167,1.81179,1.79542,1.80705,1.7948,1.82452,1.81107,1.80618,1.82,1.82086,1.82098,1.81989,1.81585,1.8274,1.81517,1.82927,1.84007,1.8206,1.82627,1.81838,1.82504,1.81739,1.83454,1.83768,1.80911,1.82629,1.81071,1.82108,1.81568,1.83667,1.80391,1.82873,1.82869,1.8258,1.82425,1.84069,1.82077,1.81443,1.82282,1.81571,1.83215,1.83031,1.81611,1.8425,1.82164,1.83323,1.79455,1.83423,1.82343,1.82735,1.81603,1.80998,1.79999,1.81474,1.88201,1.83181,1.82454,1.82418,1.81443,1.83046,1.80688,1.83696,1.82113,1.80233,1.82356,1.80958,1.81463,1.8164,1.80318,1.82993,1.80985,1.81385,1.82026,1.80888,1.83634,1.81498
CUDA - std_dev,0.684376,0.548252,0.59832,0.583711,0.583525,0.593952,0.581264,0.577114,0.586515,0.585703,0.613863,0.596213,0.588919,0.582223,0.601993,0.580695,0.593177,0.565805,0.592036,0.598023,0.585087,0.585,0.599076,0.573084,0.586727,0.578765,0.605353,0.584277,0.567948,0.593972,0.590434,0.596636,0.591788,0.598614,0.55317,0.601302,0.581388,0.582554,0.59209,0.604764,0.595746,0.596896,0.582795,0.589587,0.576932,0.583454,0.584022,0.593774,0.594512,0.576036,0.577446,0.596415,0.588465,0.592916,0.565272,0.589203,0.595264,0.574731,0.592946,0.581258,0.574764,0.574138,0.584814,0.598532,0.596318,0.589361,0.580934,0.571324,0.5884,1.11116,0.602909,0.576571,0.576154,0.577937,0.573245,0.588108,0.557594,0.604145,0.595188,0.596138,0.592227,0.596713,0.585173,0.588513,0.582586,0.594465,0.616114,0.597445,0.59428,0.578605,0.586501
CUDA - min,1.53568,1.51827,1.58077,1.52192,1.56387,1.51098,1.55501,1.57027,1.58621,1.57094,1.56499,1.53402,1.5657,1.53024,1.5351,1.52454,1.55571,1.52419,1.5351,1.51418,1.62326,1.5065,1.53773,1.52637,1.56339,1.52477,1.51475,1.56493,1.56989,1.50838,1.55024,1.5312,1.55466,1.55728,1.57523,1.54413,1.5337,1.54854,1.5912,1.50342,1.57363,1.47936,1.51485,1.51594,1.58349,1.4985,1.54752,1.55619,1.45168,1.61382,1.51066,1.51603,1.56445,1.52819,1.52166,1.54858,1.56618,1.54035,1.50394,1.57888,1.5665,1.51261,1.55338,1.55194,1.55248,1.52291,1.5287,1.51565,1.5751,1.47411,1.51168,1.55034,1.55926,1.53894,1.58362,1.55158,1.59619,1.54582,1.54243,1.496,1.51808,1.52048,1.51187,1.53027,1.56013,1.5696,1.5081,1.53814,1.56026,1.57968,1.54752
CUDA - max,6.46214,5.61219,5.98781,5.86477,5.86045,5.90829,5.8584,5.83197,5.91379,5.89475,6.09718,5.94851,5.93507,5.85453,5.98438,5.85123,5.93734,5.72714,5.92141,5.94979,5.91254,5.87773,5.97578,5.8144,5.90554,5.84365,6.02403,5.88573,5.77702,5.93923,5.94352,5.99318,5.94077,5.98704,5.67315,6.01523,5.85798,5.88944,5.96826,6.00182,5.97578,5.95821,5.86829,5.91088,5.85286,5.85133,5.9007,5.96771,5.95594,5.84227,5.85837,5.96381,5.90582,5.94195,5.73414,5.93434,5.97424,5.81302,5.97453,5.86666,5.83648,5.77363,5.91197,5.98294,5.97872,5.9161,5.84205,5.76966,5.91267,9.63872,6.02157,5.83914,5.8337,5.82838,5.82464,5.89424,5.72435,6.02739,5.92509,5.96387,5.92608,5.95837,5.87389,5.88394,5.88778,5.94675,6.0945,5.97408,5.94282,5.86877,5.89219
CUDA - median,1.78896,1.74237,1.75085,1.74944,1.73843,1.7479,1.7553,1.75808,1.75104,1.74669,1.75216,1.75309,1.7599,1.7441,1.74845,1.74899,1.75376,1.74922,1.75056,1.7425,1.74422,1.75459,1.74224,1.75056,1.76022,1.76886,1.76154,1.74896,1.76992,1.76077,1.75216,1.77475,1.74925,1.76563,1.75203,1.76048,1.76394,1.76746,1.76618,1.75363,1.76602,1.75312,1.7713,1.75981,1.77626,1.74765,1.76032,1.76234,1.76234,1.75837,1.7815,1.76426,1.76234,1.7641,1.76134,1.76989,1.76733,1.75536,1.77094,1.76214,1.76445,1.7417,1.76454,1.76976,1.76774,1.7553,1.74611,1.74739,1.75722,1.75891,1.77446,1.76301,1.76733,1.7607,1.76426,1.75184,1.76666,1.76234,1.75702,1.76858,1.75414,1.75702,1.76614,1.75478,1.76819,1.74813,1.74963,1.75997,1.7496,1.77187,1.75437
RegEff-CFM - mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RegEff-CFM - std_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RegEff-CFM - min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RegEff-CFM - max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RegEff-CFM - median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XMalloc - mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XMalloc - std_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XMalloc - min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XMalloc - max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XMalloc - median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ouroboros-C-S - mean,5.07161,5.07796,5.07312,5.05398,5.07318,5.06814,5.0635,5.0727,5.07349,5.07569,5.07233,5.07206,5.05963,5.07528,5.06588,5.08874,5.07777,5.05535,5.06359,5.06413,5.06444,5.06089,5.07016,5.06739,5.06436,5.06426,5.05921,5.06193,5.06041,5.0614,5.06401,5.06644,5.07047,5.06722,5.06891,5.07619,5.06087,5.07171,5.07653,5.08176,5.05433,5.06126,5.07127,5.07842,5.0573,5.07014,5.06647,5.06831,5.06915,5.06011,9.79955,9.7806,9.81047,9.79296,9.80403,9.78429,9.80799,9.78199,9.76873,9.81895,9.79461,9.78692,9.77977,9.7983,9.77852,9.79048,9.79708,9.79312,9.76622,9.79189,9.7959,9.78042,9.7929,9.77562,9.7773,9.77394,9.79284,9.7872,9.78397,9.78184,9.77512,9.77844,9.79647,9.79737,9.78513,9.77697,9.76526,9.78005,9.78231,9.79,9.78701
Ouroboros-C-S - std_dev,0.0836808,0.0650056,0.0739066,0.0568507,0.0467028,0.058909,0.0447897,0.0674214,0.0609748,0.0626111,0.0762571,0.0622502,0.0641628,0.0592553,0.0513176,0.0559896,0.0764902,0.0630162,0.0629686,0.0631619,0.0604286,0.0601601,0.0691541,0.0627745,0.0699959,0.0739729,0.0550658,0.0577218,0.0664931,0.064224,0.0636677,0.0548096,0.0611747,0.0599643,0.0655769,0.056695,0.0694345,0.0645343,0.0695149,0.0661746,0.0574105,0.0591165,0.04939,0.0691534,0.0653981,0.0784366,0.0536539,0.0663867,0.0639825,0.0656932,0.0811048,0.0776426,0.0824173,0.0834171,0.0877496,0.0882316,0.100763,0.0853568,0.0846082,0.1038,0.0809954,0.0853969,0.0802308,0.0998567,0.0726159,0.100272,0.0798015,0.101049,0.0867255,0.0870098,0.0748049,0.0840232,0.0822577,0.0846115,0.0708243,0.082357,0.0887339,0.0769788,0.0796569,0.0754738,0.0914376,0.0761934,0.0950061,0.0885394,0.0781854,0.0851278,0.0728418,0.0909681,0.0956368,0.0958563,0.0936451
Ouroboros-C-S - min,4.95213,4.95622,4.9473,4.95286,4.99914,4.95619,4.97382,4.95088,4.95389,4.95546,4.93158,4.96614,4.94765,4.99578,4.95427,4.96154,4.98618,4.93334,4.97184,4.96883,4.93482,4.96867,4.95354,4.97434,4.98912,4.94653,4.95328,4.96451,4.94586,4.9375,4.94483,4.90093,4.96186,4.95238,4.8975,4.9744,4.94467,4.94362,4.97786,4.96922,4.94608,4.90979,4.97654,4.93632,4.94064,4.93974,4.9657,4.95802,4.9088,4.95693,9.61107,9.61536,9.66768,9.6257,9.63418,9.62461,9.65203,9.62822,9.57254,9.6352,9.63936,9.62816,9.62602,9.6417,9.61578,9.59715,9.65718,9.56995,9.60038,9.65222,9.6544,9.63907,9.58445,9.58784,9.62794,9.64314,9.62397,9.62496,9.52995,9.64864,9.62534,9.60595,9.64691,9.62896,9.65309,9.61773,9.58208,9.57328,9.53658,9.59901,9.63939
