Threads,1,2,4,8,16,32,64,128,256,512,1024
Ouroboros-C-S - mean,0.0209062,0.0199955,0.0198829,0.0215891,0.0249139,0.0257088,0.0260019,0.0271936,0.034441,0.0355328,0.0398067
Ouroboros-C-S - std_dev,0.0800297,0.0722801,0.075858,0.0720705,0.0826224,0.0829466,0.0777319,0.0755556,0.0758969,0.0752598,0.0792437
Ouroboros-C-S - min,0.008576,0.008704,0.007872,0.010528,0.011648,0.012352,0.01328,0.014656,0.021952,0.022784,0.025856
Ouroboros-C-S - max,0.581088,0.525888,0.55088,0.52608,0.603136,0.606048,0.569856,0.555904,0.565536,0.56224,0.5944
Ouroboros-C-S - median,0.009408,0.009536,0.009408,0.011328,0.013056,0.013152,0.014112,0.016192,0.0232,0.024608,0.028352
RegEff-AW - mean,0.0094496,0.00843392,0.00904768,0.00835328,0.0100454,0.010711,0.00950528,0.00911936,0.00999808,0.00897792,0.00851072
RegEff-AW - std_dev,0.00383717,0.00193538,0.00340274,0.00211668,0.00337152,0.00534089,0.00416876,0.00406005,0.00426003,0.00413168,0.000601701
RegEff-AW - min,0.007776,0.006976,0.007008,0.006944,0.007936,0.007872,0.006976,0.006912,0.007968,0.006944,0.007296
RegEff-AW - max,0.027008,0.017024,0.028064,0.01728,0.019776,0.034816,0.027008,0.026496,0.032064,0.026112,0.012064
RegEff-AW - median,0.00784,0.007808,0.00784,0.007808,0.008608,0.008704,0.007808,0.007808,0.00864,0.00784,0.008512
Ouroboros-C-VA - mean,0.0217427,0.0213331,0.022889,0.0239066,0.0267776,0.0251232,0.0266394,0.028135,0.0363712,0.041936,0.0479859
Ouroboros-C-VA - std_dev,0.0758428,0.0761118,0.0859412,0.0763527,0.0861272,0.0754129,0.0750969,0.0771064,0.076681,0.0917864,0.102156
Ouroboros-C-VA - min,0.008416,0.009024,0.007392,0.011104,0.013056,0.013184,0.014528,0.014976,0.022816,0.0256,0.03008
Ouroboros-C-VA - max,0.552192,0.55392,0.624192,0.557824,0.62944,0.552832,0.552,0.567776,0.572672,0.684352,0.762624
Ouroboros-C-VA - median,0.009888,0.009888,0.009888,0.011936,0.013792,0.013856,0.015232,0.016896,0.02432,0.028832,0.032352
Ouroboros-P-VA - mean,0.0233651,0.0237414,0.0235885,0.0239827,0.0232685,0.0240749,0.0252589,0.0232096,0.0243149,0.0238458,0.0248077
Ouroboros-P-VA - std_dev,0.094641,0.0958056,0.0950062,0.0953042,0.0953512,0.0951054,0.0942436,0.0922908,0.0984944,0.0943738,0.0975794
Ouroboros-P-VA - min,0.008512,0.007808,0.00848,0.008736,0.00784,0.007872,0.008544,0.00864,0.00944,0.008704,0.009472
