Byte-Range,4-4,4-8,4-16,4-32
RegEff-CFM - mean,,,,
RegEff-CFM - std_dev,,,,
RegEff-CFM - min,,,,
RegEff-CFM - max,,,,
RegEff-CFM - median,,,,
Ouroboros-P-S - mean,0.0405862,0.0265197,0.0324787,0.0331226
Ouroboros-P-S - std_dev,0.225725,0.131779,0.168571,0.164194
Ouroboros-P-S - min,0.0056,0.005568,0.00544,0.00496
Ouroboros-P-S - max,1.62058,0.948864,1.21238,1.17507
Ouroboros-P-S - median,0.008608,0.006336,0.00896,0.005632
Ouroboros-C-S - mean,0.0798675,0.0815251,0.0720448,0.0716301
Ouroboros-C-S - std_dev,0.0979548,0.0925805,0.0952778,0.0882104
Ouroboros-C-S - min,0.057216,0.058816,0.051296,0.053728
Ouroboros-C-S - max,0.764928,0.728704,0.738688,0.68848
Ouroboros-C-S - median,0.066816,0.067968,0.058432,0.058208
RegEff-AW - mean,0.00556992,0.00556672,0.00436096,0.0043488
RegEff-AW - std_dev,0.00241268,0.00241797,0.00192638,0.00200217
RegEff-AW - min,0.003616,0.004,0.00288,0.00336
RegEff-AW - max,0.012352,0.013248,0.015648,0.016224
RegEff-AW - median,0.004032,0.004064,0.004032,0.004032
Ouroboros-C-VA - mean,0.107905,0.353458,0.32753,0.0798566
Ouroboros-C-VA - std_dev,0.0965763,1.95728,1.84585,0.103103
Ouroboros-C-VA - min,0.085248,0.066944,0.059008,0.060064
Ouroboros-C-VA - max,0.783168,14.0544,13.2485,0.801376
Ouroboros-C-VA - median,0.093632,0.073792,0.063648,0.064704
Ouroboros-P-VA - mean,0.0371366,0.0329946,0.0336486,0.0433811
Ouroboros-P-VA - std_dev,0.180446,0.16834,0.178217,0.186544
Ouroboros-P-VA - min,0.009248,0.006784,0.006496,0.007328
Ouroboros-P-VA - max,1.30019,1.21133,1.28112,1.31949
Ouroboros-P-VA - median,0.01136,0.008672,0.007776,0.009856
Halloc - mean,,,,
Halloc - std_dev,,,,
Halloc - min,,,,
Halloc - max,,,,
Halloc - median,,,,
RegEff-CM - mean,0.383931,0.258911,0.275723,0.271213
RegEff-CM - std_dev,0.0151934,0.0236667,0.0217272,0.0194719
RegEff-CM - min,0.344192,0.227072,0.228576,0.248832
RegEff-CM - max,0.455296,0.357056,0.356928,0.35936
RegEff-CM - median,0.386112,0.254528,0.274816,0.26416
Ouroboros-P-VL - mean,0.0517312,0.0349241,0.0329907,0.0301229
Ouroboros-P-VL - std_dev,0.245657,0.150123,0.122669,0.111143
Ouroboros-P-VL - min,0.012864,0.010272,0.010624,0.01024
Ouroboros-P-VL - max,1.77126,1.08563,0.891456,0.805664
Ouroboros-P-VL - median,0.017184,0.012192,0.016128,0.012736
ScatterAlloc - mean,0.00866368,0.00676544,0.0073888,0.00671424
ScatterAlloc - std_dev,0.00225692,0.00206048,0.00183097,0.00193612
ScatterAlloc - min,0.006496,0.005472,0.005696,0.005376
ScatterAlloc - max,0.014784,0.012288,0.012352,0.016704
ScatterAlloc - median,0.008192,0.005504,0.006304,0.005952
Ouroboros-C-VL - mean,0.0849651,0.0875539,0.0737382,0.0761805
Ouroboros-C-VL - std_dev,0.0963298,0.110731,0.0834541,0.0870038
Ouroboros-C-VL - min,0.063264,0.061952,0.05744,0.059712
Ouroboros-C-VL - max,0.758784,0.861632,0.657728,0.684896
Ouroboros-C-VL - median,0.071264,0.071968,0.061792,0.063328
RegEff-CF - mean,7.48589,6.20445,7.08688,6.97608
RegEff-CF - std_dev,1.13711,0.580336,1.02469,0.861423
RegEff-CF - min,5.68336,4.54131,4.56403,4.78253
RegEff-CF - max,9.5079,7.13187,9.59293,8.28742
RegEff-CF - median,7.72931,6.21146,6.91046,7.17389
CUDA - mean,1.1562,1.14581,1.17001,1.15059
CUDA - std_dev,0.591781,0.590014,0.583403,0.580328
CUDA - min,0.917664,0.907712,0.930848,0.90272
CUDA - max,5.25264,5.23667,5.18938,5.17859
CUDA - median,1.07165,1.08477,1.0984,1.0815
XMalloc - mean,,,,
XMalloc - std_dev,,,,
XMalloc - min,,,,
XMalloc - max,,,,
XMalloc - median,,,,
RegEff-C - mean,8.42138,4.41829,5.95885,
RegEff-C - std_dev,1.52493,0.604179,1.1799,
RegEff-C - min,5.38349,3.05571,3.23021,
RegEff-C - max,11.1748,6.18605,7.62374,
RegEff-C - median,8.2576,4.34938,6.17283,
