Bytes,4,8,12,16,20,24,28,32,36,40
ActualSize - range,40000,80000,120000,160000,200000,240000,280000,320000,360000,400000
ActualSize - static range,40000,80000,120000,160000,200000,240000,280000,320000,360000,400000
Halloc - range,1759984,1759984,1759984,1759984,4193256,4193256,4193632,4193632,4193232,4193232
Halloc - static range,4194288,4194288,4194288,4194288,4194216,4194216,4194272,4194272,4194192,4194192
XMalloc - range,5368704120,5368699120,5368703216,5368703464,5368703464,5368687840,5337991392,5368687960,5368687960,5368688080
XMalloc - static range,5368704120,5368703216,5368703216,5368703464,5368703464,5368703200,5368703200,5368703320,5368703320,5368703440
RegEff-AW - range,159984,159984,159984,159984,319968,319968,319968,319968,479952,479952
RegEff-AW - static range,7999984,7999984,7999984,7999984,15999968,15999968,15999968,15999968,23999952,23999952
Ouroboros-P-VA - range,282736,282736,282736,282736,415840,424160,415840,415840,658240,724800
Ouroboros-P-VA - static range,282736,282736,282736,282736,415840,424160,415840,415840,665408,731968
CUDA - range,5368707712,5368707712,5368707712,5368707712,5368707712,5368707712,5368707712,5368707712,5368707712,5368707712
CUDA - static range,5368707712,5368707712,5368707712,5368707712,5368707712,5368707712,5368707712,5368707712,5368707712,5368707712
ScatterAlloc - range,645153264,645153264,645153264,645153264,645268448,645268448,645268448,645268448,646358480,646358480
ScatterAlloc - static range,645153264,645153264,645153264,645153264,645268448,645268448,645268448,645268448,646358480,646358480
