Byte-Range,4-4,4-8,4-16,4-32
RegEff-AW - mean,0.00367808,0.00364352,0.00271616,0.00329664
RegEff-AW - std_dev,0.00107736,0.00131925,0.000407326,0.000427292
RegEff-AW - min,0.00336,0.00336,0.00336,0.004
RegEff-AW - max,0.011104,0.01488,0.01168,0.0096
RegEff-AW - median,0.003488,0.00352,0.002656,0.003488
Ouroboros-C-VL - mean,0.0131469,0.0103846,0.00950528,0.00905344
Ouroboros-C-VL - std_dev,0.000166936,0.000234998,0.000260596,0.000234439
Ouroboros-C-VL - min,0.0832,0.059872,0.058112,0.058464
Ouroboros-C-VL - max,0.77472,0.642944,0.692096,0.759424
Ouroboros-C-VL - median,0.013152,0.0104,0.009536,0.00912
Ouroboros-C-S - mean,0.0106694,0.010759,0.010055,0.00934912
Ouroboros-C-S - std_dev,0.000273789,0.000197913,0.000169363,0.000213069
Ouroboros-C-S - min,0.058592,0.057536,0.051936,0.055136
Ouroboros-C-S - max,0.745888,0.731936,0.734112,0.684352
Ouroboros-C-S - median,0.010752,0.010784,0.010048,0.009408
RegEff-CFM - mean,0.00519296,0.00459136,0.00445312,0.0044384
RegEff-CFM - std_dev,0.000175509,0.000278252,0.0002254,0.000297118
RegEff-CFM - min,0.283392,0.213536,0.229216,0.236704
RegEff-CFM - max,0.315552,0.242176,0.491392,0.436416
RegEff-CFM - median,0.005152,0.004672,0.004384,0.00448
CUDA - mean,,,,
CUDA - std_dev,,,,
CUDA - min,,,,
CUDA - max,,,,
CUDA - median,,,,
Ouroboros-P-S - mean,0.0152013,0.0120429,0.0134522,0.0142278
Ouroboros-P-S - std_dev,0.000718369,0.000389592,0.00121596,0.00191078
Ouroboros-P-S - min,0.00592,0.005216,0.0048,0.004928
Ouroboros-P-S - max,0.958656,0.919552,1.20294,1.91184
Ouroboros-P-S - median,0.01504,0.01216,0.012992,0.0136
RegEff-CM - mean,0.0048608,0.00432,0.00446528,0.00450944
RegEff-CM - std_dev,0.000173657,0.000542605,0.00194206,0.000529533
RegEff-CM - min,0.351552,0.206144,0.23488,0.246016
RegEff-CM - max,0.447232,0.447136,0.351584,0.353472
RegEff-CM - median,0.004864,0.004288,0.004224,0.004672
Ouroboros-C-VA - mean,0.0154086,0.0126464,0.0113882,0.0102893
Ouroboros-C-VA - std_dev,0.000164946,0.000303713,0.000885068,0.000235517
Ouroboros-C-VA - min,0.079936,0.067872,0.058656,0.060288
Ouroboros-C-VA - max,0.802752,0.66224,0.750944,0.67424
Ouroboros-C-VA - median,0.015392,0.012608,0.011264,0.010336
ScatterAlloc - mean,,,,
ScatterAlloc - std_dev,,,,
ScatterAlloc - min,,,,
ScatterAlloc - max,,,,
ScatterAlloc - median,,,,
Halloc - mean,,,,
Halloc - std_dev,,,,
Halloc - min,,,,
Halloc - max,,,,
Halloc - median,,,,
Ouroboros-P-VL - mean,0.0248077,0.0190464,0.0171642,0.0145498
Ouroboros-P-VL - std_dev,0.00259242,0.0021883,0.00161951,0.00212272
Ouroboros-P-VL - min,0.013216,0.010368,0.011008,0.010784
Ouroboros-P-VL - max,1.30688,0.858112,0.774112,0.806912
Ouroboros-P-VL - median,0.024928,0.019104,0.016928,0.014144
RegEff-C - mean,,,,
RegEff-C - std_dev,,,,
RegEff-C - min,,,,
RegEff-C - max,,,,
RegEff-C - median,,,,
XMalloc - mean,,,,
XMalloc - std_dev,,,,
XMalloc - min,,,,
XMalloc - max,,,,
XMalloc - median,,,,
Ouroboros-P-VA - mean,,,,
Ouroboros-P-VA - std_dev,,,,
Ouroboros-P-VA - min,,,,
Ouroboros-P-VA - max,,,,
Ouroboros-P-VA - median,,,,
RegEff-CF - mean,0.0046624,0.00446912,0.00459584,0.00463232
RegEff-CF - std_dev,0.000542954,0.000246513,0.000188218,0.000255645
RegEff-CF - min,5.31456,4.58694,4.51024,4.55712
RegEff-CF - max,8.91741,7.63267,9.8527,9.18093
RegEff-CF - median,0.004544,0.00448,0.004576,0.004672
