Approach,Alloc Size,Timing (ms) GPU,Timing (ms) CPU
Ouroboros-P-S,5368709120,10.121,146
CUDA,5368709120,0.002624,137
XMalloc,5368709120,36.3205,172
Halloc,5368709120,169.482,313
Ouroboros-P-VA,5368709120,53.8726,207
RegEff-CM,5368709120,26.5436,175
RegEff-CF,5368709120,25.8163,165
Ouroboros-C-VA,5368709120,53.9123,199
RegEff-C,5368709120,25.8196,174
ScatterAlloc,5368709120,36.2401,173
Ouroboros-P-VL,5368709120,53.9649,189
RegEff-AW,5368709120,6.75485,139
Ouroboros-C-VL,5368709120,53.898,200
RegEff-CFM,5368709120,26.5429,161
Ouroboros-C-S,5368709120,10.1781,157
