Num Threads,1,2,4,8,16,32,64,128,256,512,1024
Ouroboros-C-VL, , , , , , , , , , , 
Ouroboros-C-S, , , , , , , , , , , 
RegEff-CM, 0.147456, 0.144934, 0.154835, 0.147162, 0.153549, 0.14601, 0.146797, 0.156634, 0.151296, 0.152538, 0.159443
RegEff-CFM, 0.145005, 0.151251, 0.151219, 0.146189, 0.152422, 0.152346, 0.154656, 0.160147, 0.152429, 0.151411, 0.153843
Ouroboros-P-VL, , , , , , , , , , , 
ScatterAlloc, 0.153421, 0.143034, 0.14615, 0.143104, 0.15479, 0.151776, 0.146874, 0.146758, 0.159693, 0.149344, 0.157312
Baseline, 0.149299, 0.154381, 0.146234, 0.146035, 0.151226, 0.147955, 0.145914, 0.152256, 0.154867, 0.151584, 0.160749
Halloc, , , , , , , , , , , 
RegEff-CF, 0.153664, 0.151162, 0.149242, 0.156486, 0.154829, 0.154854, 0.152173, 0.152691, 0.157184, 0.16039, 0.158752
XMalloc, 0.145171, 0.146381, 0.146957, 0.154611, 0.155706, 0.155296, 0.149395, 0.156749, 0.152518, 0.156448, 0.158682
CUDA, 0.149178, 0.15399, 0.155418, 0.154016, 0.146432, 0.157811, 0.149306, 0.157517, 0.155437, 0.151283, 0.16087
Ouroboros-C-VA, , , , , , , , , , , 
Ouroboros-P-VA, , , , , , , , , , , 
RegEff-C, 0.145779, 0.151245, 0.146854, 0.154176, 0.148166, 0.14935, 0.156704, 0.153651, 0.155168, 0.154906, 0.15584
RegEff-AW, 0.153715, 0.153478, 0.145478, 0.147277, 0.148109, 0.156115, 0.153626, 0.155258, 0.155456, 0.152486, 0.157997
Ouroboros-P-S, , , , , , , , , , , 
