Bytes,3900,3904,3908,3912,3916,3920,3924,3928,3932,3936,3940,3944,3948,3952,3956,3960,3964,3968,3972,3976,3980,3984,3988,3992,3996,4000,4004,4008,4012,4016,4020,4024,4028,4032,4036,4040,4044,4048,4052,4056,4060,4064,4068,4072,4076,4080,4084,4088,4092,4096,4100,4104,4108,4112,4116,4120,4124,4128,4132,4136,4140,4144,4148,4152,4156,4160,4164,4168,4172,4176,4180,4184,4188,4192,4196,4200,4204,4208,4212,4216,4220,4224,4228,4232,4236,4240,4244,4248,4252,4256,4260,4264,4268,4272,4276,4280
Ouroboros-P-S - mean,0.0720652,0.0592109,0.0591815,0.0588474,0.0585171,0.0599769,0.0596659,0.0586157,0.0621145,0.057216,0.0595508,0.0592039,0.0590745,0.0595322,0.0588186,0.0601844,0.059584,0.059241,0.0602323,0.0588748,0.0588384,0.0588102,0.0594067,0.0605683,0.0573556,0.0592436,0.0599367,0.0586476,0.0593159,0.0582886,0.0584851,0.0594368,0.0586259,0.0584006,0.0580588,0.059442,0.0593581,0.0562016,0.0590778,0.0573952,0.0589011,0.0564377,0.0590977,0.057401,0.0572148,0.0604102,0.0586983,0.0578432,0.0589818,0.0597427,0.0979821,0.0973902,0.102308,0.0978696,0.0984334,0.0945588,0.0984315,0.0939643,0.0979259,0.101343,0.0962888,0.0972744,0.098637,0.0942376,0.0952251,0.0938536,0.0973742,0.09778,0.0964507,0.0978484,0.0998273,0.099426,0.0975214,0.0950914,0.0983937,0.0986734,0.0955924,0.0961717,0.0975707,0.0963438,0.100755,0.0983156,0.0974036,0.0969518,0.0994637,0.0974696,0.0954037,0.0979931,0.0989704,0.0979912,0.0979316,0.0981698,0.0979547,0.0991387,0.10065,0.0991022
Ouroboros-P-S - std_dev,0.463908,0.361842,0.38072,0.377185,0.37202,0.37818,0.377406,0.373231,0.371667,0.366144,0.381838,0.379935,0.378251,0.380709,0.377472,0.38637,0.382775,0.373456,0.380387,0.378145,0.37778,0.373496,0.380822,0.367128,0.36713,0.379287,0.376572,0.376303,0.381149,0.374119,0.364435,0.381749,0.373846,0.374779,0.371474,0.382681,0.381271,0.361233,0.379387,0.367435,0.378219,0.361048,0.37921,0.367644,0.366149,0.370487,0.377521,0.370758,0.378577,0.383187,0.65286,0.647563,0.644491,0.651015,0.654532,0.627689,0.654857,0.62355,0.651405,0.644246,0.639433,0.647132,0.656428,0.625569,0.632221,0.622693,0.647452,0.642717,0.640946,0.65169,0.656428,0.651449,0.636384,0.631531,0.653478,0.655889,0.635858,0.638915,0.648855,0.640078,0.638525,0.641254,0.635492,0.631584,0.655607,0.648147,0.633955,0.650378,0.658552,0.65178,0.650879,0.653015,0.651035,0.65951,0.657948,0.65942
Ouroboros-P-S - min,0.00544,0.004416,0.004224,0.004224,0.004832,0.004224,0.004224,0.004192,0.004736,0.00464,0.004256,0.004512,0.004192,0.004224,0.00448,0.004224,0.004448,0.004224,0.003776,0.004192,0.004224,0.004192,0.004512,0.004864,0.004288,0.004416,0.004288,0.004832,0.004224,0.004224,0.004544,0.004448,0.004192,0.00384,0.004224,0.004224,0.004224,0.003776,0.004224,0.004288,0.004224,0.004192,0.004448,0.004224,0.004448,0.004224,0.004224,0.004224,0.004256,0.004224,0.004224,0.00448,0.004896,0.004224,0.004224,0.004224,0.004224,0.004224,0.004256,0.004224,0.00448,0.004224,0.004224,0.004224,0.004448,0.004544,0.004224,0.004192,0.004256,0.004224,0.004224,0.004224,0.004416,0.004416,0.004256,0.004256,0.004192,0.004256,0.004416,0.004448,0.00448,0.004224,0.004224,0.004256,0.004224,0.004224,0.004224,0.004224,0.004224,0.004224,0.004224,0.004224,0.004224,0.004416,0.004416,0.004384
Ouroboros-P-S - max,3.31942,2.59197,2.72422,2.69914,2.66262,2.70717,2.70144,2.6712,2.66365,2.62022,2.73242,2.71875,2.70682,2.72448,2.70112,2.76477,2.73901,2.67338,2.72288,2.70589,2.7033,2.67325,2.72515,2.63034,2.62726,2.71424,2.69587,2.69277,2.72736,2.67712,2.60944,2.73168,2.67552,2.68186,2.65837,2.73821,2.72826,2.58483,2.71478,2.62944,2.70643,2.58378,2.71357,2.63091,2.62026,2.6537,2.70134,2.65315,2.70902,2.74205,4.668,4.63034,4.6137,4.65498,4.68016,4.48838,4.68243,4.45882,4.65776,4.61098,4.57232,4.6272,4.69363,4.47322,4.52077,4.4527,4.62954,4.59677,4.58307,4.65968,4.69478,4.65952,4.55216,4.51581,4.67274,4.68989,4.54659,4.56858,4.63955,4.5769,4.57037,4.58704,4.54579,4.51798,4.68867,4.6345,4.53309,4.65062,4.70883,4.66045,4.65408,4.66928,4.6552,4.71571,4.70624,4.71504
Ouroboros-P-S - median,0.005792,0.004896,0.004896,0.004928,0.004896,0.004896,0.004928,0.004896,0.011712,0.004928,0.004928,0.004928,0.004896,0.004928,0.004896,0.004928,0.004896,0.004896,0.004928,0.004896,0.004896,0.004896,0.004896,0.004928,0.004928,0.004928,0.004928,0.004896,0.004928,0.004896,0.004896,0.004928,0.004896,0.004896,0.004896,0.004928,0.004896,0.004864,0.004896,0.004928,0.004896,0.004896,0.004928,0.004928,0.004928,0.004928,0.004896,0.004896,0.004928,0.004928,0.004896,0.004896,0.01184,0.004896,0.004896,0.004896,0.004896,0.004896,0.004896,0.012512,0.004896,0.004896,0.004896,0.004896,0.004928,0.004896,0.004896,0.004896,0.004896,0.004896,0.004896,0.004928,0.004928,0.004896,0.004928,0.004896,0.004896,0.004896,0.004896,0.004896,0.011936,0.004896,0.004896,0.004928,0.004928,0.004896,0.004896,0.004896,0.004896,0.004896,0.004896,0.004896,0.004896,0.004928,0.004928,0.004928
Ouroboros-P-VA - mean,0.0643936,0.0628506,0.0633683,0.0629453,0.0628627,0.0636742,0.0627674,0.0624851,0.0645984,0.0641754,0.0631187,0.0633491,0.0696691,0.0640557,0.0629389,0.0633095,0.0633958,0.0628211,0.064249,0.0653869,0.0644083,0.0644058,0.0636512,0.0661402,0.0636902,0.0643021,0.0668518,0.0632006,0.0664928,0.0632518,0.0641248,0.0637299,0.0636416,0.0706586,0.0626918,0.0645088,0.0659642,0.0629805,0.0633434,0.0633587,0.0652992,0.064944,0.0636141,0.063641,0.0632704,0.0637338,0.0626573,0.0685696,0.0632755,0.0627283,0.102758,0.102685,0.103226,0.103169,0.105915,0.10223,0.10321,0.102708,0.102951,0.102031,0.10194,0.104593,0.105095,0.106135,0.106345,0.103401,0.104149,0.103837,0.106001,0.103376,0.1033,0.103873,0.102643,0.104001,0.102411,0.103248,0.103129,0.102712,0.103098,0.102883,0.102827,0.102487,0.104004,0.101525,0.102896,0.103671,0.100794,0.101509,0.110052,0.103991,0.103362,0.103473,0.102883,0.104091,0.103278,0.103334
Ouroboros-P-VA - std_dev,0.392708,0.38406,0.389302,0.384696,0.384186,0.38699,0.383985,0.382077,0.397158,0.390951,0.386015,0.389588,0.390779,0.391145,0.386154,0.387838,0.388229,0.384548,0.393775,0.387548,0.390037,0.387327,0.390121,0.407005,0.390276,0.390829,0.381708,0.387292,0.410195,0.387847,0.389377,0.390672,0.389561,0.394793,0.383689,0.396531,0.406741,0.385293,0.38878,0.388599,0.381491,0.399568,0.390277,0.38967,0.388054,0.391046,0.383282,0.390218,0.388899,0.383615,0.660653,0.660979,0.665034,0.664851,0.672247,0.659485,0.66521,0.661017,0.662646,0.656711,0.655632,0.660513,0.672929,0.676495,0.678321,0.666051,0.666451,0.662222,0.675171,0.658339,0.655626,0.670336,0.66078,0.664232,0.659208,0.665954,0.663805,0.661437,0.664687,0.662094,0.661887,0.66108,0.67039,0.652126,0.662165,0.667759,0.646877,0.653019,0.673956,0.668702,0.665852,0.667088,0.664064,0.671055,0.665895,0.660436
Ouroboros-P-VA - min,0.006784,0.006816,0.006496,0.006688,0.007296,0.007168,0.0072,0.00672,0.006688,0.007296,0.00704,0.006496,0.007264,0.007264,0.006688,0.007296,0.007232,0.00688,0.006816,0.00688,0.007232,0.007296,0.006688,0.006688,0.00672,0.006688,0.006848,0.006688,0.00672,0.007296,0.006688,0.006784,0.006784,0.00848,0.006784,0.006848,0.0072,0.00704,0.006656,0.006624,0.006912,0.00672,0.006976,0.007008,0.007232,0.007264,0.006752,0.007328,0.006624,0.00672,0.00736,0.0072,0.007232,0.006496,0.00736,0.006624,0.006784,0.007264,0.00656,0.007232,0.007424,0.006464,0.007296,0.0072,0.007232,0.007232,0.00688,0.007168,0.006656,0.00672,0.007136,0.007232,0.007104,0.006592,0.007296,0.007104,0.007296,0.007136,0.006656,0.007136,0.007168,0.006688,0.006656,0.007232,0.007168,0.007264,0.007264,0.006688,0.007648,0.007136,0.0072,0.006752,0.006752,0.007392,0.0064,0.007168
Ouroboros-P-VA - max,2.81334,2.75126,2.78848,2.75581,2.75216,2.77258,2.75066,2.73702,2.8447,2.80083,2.76522,2.79046,2.80509,2.80205,2.76602,2.77818,2.78099,2.75466,2.82067,2.77814,2.79462,2.77565,2.7945,2.91517,2.79562,2.8001,2.73875,2.77424,2.93786,2.77818,2.78973,2.79843,2.79056,2.83418,2.74851,2.84022,2.91315,2.76003,2.7848,2.78355,2.73565,2.86192,2.79555,2.79133,2.77965,2.80106,2.74563,2.80003,2.78557,2.74803,4.72733,4.72954,4.75846,4.75712,4.81162,4.71862,4.75968,4.72982,4.74147,4.69901,4.69136,4.72813,4.81558,4.84157,4.85456,4.76576,4.76928,4.73936,4.83216,4.71171,4.69264,4.79622,4.7281,4.7536,4.71686,4.76493,4.74976,4.73277,4.7559,4.73754,4.73603,4.73005,4.79674,4.6664,4.73805,4.77798,4.62893,4.67264,4.82771,4.7849,4.76432,4.77309,4.75133,4.80147,4.76454,4.72637
